Latitude,Longitude,Sport,LGA Name,Facility Name
-38.452373,145.24571,Basketball,Bass Coast Shire Council,Phillip Island leisure Centre
-38.523713,145.369858,Basketball,Bass Coast Shire Council,San Remo Recreation Reserve
-38.480834,145.470741,Cricket,Bass Coast Shire Council,Bass Recreation Oval
-38.451054,145.247337,Cricket,Bass Coast Shire Council,Cowes Recreation Reserve
-38.596136,145.542022,Cricket,Bass Coast Shire Council,Dalyston Recreation Reserve
-38.502487,145.658444,Cricket,Bass Coast Shire Council,Glen Alvie Recreation Reserve
-38.631772,145.727419,Cricket,Bass Coast Shire Council,Inverloch Recreation Reserve
-38.613706,145.584756,Cricket,Bass Coast Shire Council,McMahon Reserve
-38.512759,145.354379,Cricket,Bass Coast Shire Council,Newhaven Recreation Reserve
-38.462436,145.29081,Cricket,Bass Coast Shire Council,Rhyll Cricket Ground
-38.627084,145.73935,Cricket,Bass Coast Shire Council,Thompson Estate Reserve
-38.600924,145.597243,Cricket,Bass Coast Shire Council,Wonthaggi Recreation Reserve
-38.600924,145.597243,Cricket,Bass Coast Shire Council,Wonthaggi Recreation Reserve
-38.480834,145.470741,Netball,Bass Coast Shire Council,Bass Recreation Oval
-38.451054,145.247337,Netball,Bass Coast Shire Council,Cowes Recreation Reserve
-38.596136,145.542022,Netball,Bass Coast Shire Council,Dalyston Recreation Reserve
-38.631772,145.727419,Netball,Bass Coast Shire Council,Inverloch Recreation Reserve
-38.600924,145.597243,Netball,Bass Coast Shire Council,Wonthaggi Recreation Reserve
-38.613706,145.584756,Soccer,Bass Coast Shire Council,McMahon Reserve
-38.512759,145.354379,Soccer,Bass Coast Shire Council,Newhaven Recreation Reserve
-38.627084,145.73935,Soccer,Bass Coast Shire Council,Thompson Estate Reserve
-38.600924,145.597243,Soccer,Bass Coast Shire Council,Wonthaggi Recreation Reserve
-38.669361,145.621415,Tennis,Bass Coast Shire Council,Cape Paterson Sports Facility
-38.413097,145.433028,Tennis,Bass Coast Shire Council,Corinella Tennis and Bowls Club
-38.451054,145.247337,Tennis,Bass Coast Shire Council,Cowes Recreation Reserve
-38.459369,145.542666,Tennis,Bass Coast Shire Council,Glen Forbes Recreation Reserve
-38.40455,145.532087,Tennis,Bass Coast Shire Council,Grantville Tennis Club
-38.42636,145.598871,Tennis,Bass Coast Shire Council,Kernot Recreation Reserve
-38.512759,145.354379,Tennis,Bass Coast Shire Council,Newhaven Recreation Reserve
-38.463056,145.303234,Tennis,Bass Coast Shire Council,Rhyll Park
-38.523713,145.369858,Tennis,Bass Coast Shire Council,San Remo Recreation Reserve
-38.627084,145.73935,Tennis,Bass Coast Shire Council,Thompson Estate Reserve
-38.600924,145.597243,Tennis,Bass Coast Shire Council,Wonthaggi Recreation Reserve
-38.135303,145.842993,AFL,Baw Baw Shire Council,Bellbird Park Recreation Reserve
-38.147815,145.931005,AFL,Baw Baw Shire Council,Brooker Park
-38.097287,145.936979,AFL,Baw Baw Shire Council,Buln Buln Recreation Reserve
